timestamp,transcode,message_length,security_token,instrument_name,symbol,expiry_date,strike_price,option_type,open_interest,market_type
2035-07-01 08:01:21,2,66,124262,OPTSTK,RECLTD,31-07-2025,440.00,CE,2975850,N
2035-07-01 08:01:17,2,66,134327,OPTSTK,UNIONBANK,31-07-2025,155.00,CE,2739075,N
